Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
2018-11-20,EQ,184.05,188.3,183.2,184.6,183.75,183.75,185.37,443.5,164.6,"1,31,14,982","2,43,11,50,694.10","97,001"
2018-11-21,EQ,184.4,186.75,183.75,183.75,184.05,184.15,184.81,443.5,164.6,"80,97,107","1,49,64,50,715.05","61,295"
2018-11-22,EQ,185.5,186.15,181.75,184.15,182.5,182.55,183.51,443.5,164.6,"91,35,857","1,67,65,49,531.85","79,289"
2018-11-26,EQ,183.9,184.45,177,182.55,182,181.75,180.01,443.5,164.6,"98,65,426","1,77,58,78,963.15","1,00,951"
2018-11-27,EQ,181.7,184.55,178.55,181.75,180.05,180.05,181.38,443.5,164.6,"1,16,39,680","2,11,12,18,220.20","69,377"
2018-11-28,EQ,181,181.35,174,180.05,175.1,174.45,176.36,443.5,164.6,"1,25,04,717","2,20,52,94,959.65","85,679"
2018-11-29,EQ,175.95,179.35,173.45,174.45,177.75,177.25,177.12,443.5,164.6,"2,08,92,744","3,70,05,52,883.40","98,501"
2018-11-30,EQ,172,174.9,170.35,177.25,172.15,171.95,172.62,443.5,164.6,"1,83,93,012","3,17,50,12,952.20","1,18,940"
2018-12-03,EQ,173.25,176.45,170,171.95,175.4,175.45,174.24,443.5,164.6,"1,40,68,885","2,45,13,69,931.20","88,740"
2018-12-04,EQ,177.95,178.75,175.3,175.45,175.65,175.75,176.89,443.5,164.6,"1,14,81,923","2,03,10,75,814.35","77,401"
2018-12-05,EQ,173,173,168.6,175.75,170.05,169.2,170.64,443.5,164.6,"1,49,60,527","2,55,28,20,507.95","1,04,924"
2018-12-06,EQ,168.5,168.7,161.6,169.2,162.5,162.65,164.8,443.5,161.6,"1,54,28,019","2,54,25,92,957.55","1,38,289"
2018-12-07,EQ,162.25,164.2,160.8,162.65,162.5,162.4,162.52,443.5,160.8,"1,35,45,006","2,20,13,99,505.00","93,721"
2018-12-10,EQ,159.9,160.5,156.5,162.4,157.1,157.1,158.32,443.5,156.5,"1,35,20,495","2,14,05,96,137.30","95,871"
2018-12-11,EQ,155,159.5,154.65,157.1,158.25,158.1,157.35,443.5,154.65,"1,20,94,881","1,90,31,18,965.55","77,588"
2018-12-12,EQ,159.5,167.1,158,158.1,164,164.1,163.59,443.5,154.65,"2,24,61,175","3,67,43,64,046.65","1,21,969"
2018-12-13,EQ,166,168,165.55,164.1,166.8,166.85,166.88,443.5,154.65,"1,22,35,499","2,04,18,75,870.10","92,984"
2018-12-14,EQ,166,168.4,164.85,166.85,167,166.95,166.97,443.5,154.65,"1,00,91,732","1,68,50,56,156.00","70,024"
2018-12-17,EQ,167.25,175.95,167.25,166.95,174.5,173.95,173.61,443.5,154.65,"2,85,26,103","4,95,23,03,673.10","1,58,893"
